sna,tot,lat,lng,流量,路徑
興福國中,25,25.00465,121.54916,127,05-28表格/興福國中.jpg
興隆路2段203巷,35,25.00346,121.54709,84,05-28表格/興隆路2段203巷.jpg
景美運動公園,11,25.00219,121.54454,75,05-28表格/景美運動公園.jpg
景美醫院,18,24.99136,121.54008,118,05-28表格/景美醫院.jpg
師範大學公館校區,14,25.00792,121.53731,105,05-28表格/師範大學公館校區.jpg
景華街128巷口,14,24.99543,121.54725,101,05-28表格/景華街128巷口.jpg
仙跡岩登山口(景興路),22,24.99118,121.5436,108,05-28表格/仙跡岩登山口(景興路).jpg
國立政治大學,35,24.98737,121.57726,78,05-28表格/國立政治大學.jpg
捷運動物園站,18,24.99873,121.57985,35,05-28表格/捷運動物園站.jpg
捷運木柵站,19,24.99798,121.57455,107,05-28表格/捷運木柵站.jpg
捷運萬芳社區站,16,24.99886,121.56769,63,05-28表格/捷運萬芳社區站.jpg
文山運動中心,20,24.99676,121.5596,88,05-28表格/文山運動中心.jpg
捷運辛亥站,29,25.00467,121.55684,87,05-28表格/捷運辛亥站.jpg
興豐公園,16,24.99982,121.54761,80,05-28表格/興豐公園.jpg
木柵光輝路口,19,24.98816,121.55528,61,05-28表格/木柵光輝路口.jpg
考試院,14,24.98747,121.54984,93,05-28表格/考試院.jpg
和興路26巷口,15,24.98573,121.54532,35,05-28表格/和興路26巷口.jpg
世新大學,16,24.98859,121.54336,73,05-28表格/世新大學.jpg
一壽橋,12,24.97837,121.55548,48,05-28表格/一壽橋.jpg
